,Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Apr-19,"3,430",180,51.18%,9.84%,11.02%,10.24%,10.43%,9.84%,9.45%,9.06%,8.27%,8.27%,8.27%,35.04%,7.48%,7.28%,7.09%,6.50%,6.30%,6.30%,5.12%,3.74%,4.53%,5.31%,29.53%,24.21%,20.87%,17.52%,17.91%,15.16%,13.19%,144,5,55.56%,5.56%,5.56%,5.56%,5.56%,5.56%,5.56%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,27.78%,11.11%,16.67%,11.11%,11.11%,11.11%,5.56%
12-Apr-19,"3,332",135,47.87%,13.19%,10.85%,10.85%,10.21%,10.00%,8.94%,8.51%,8.94%,8.30%,6.81%,32.98%,6.81%,7.02%,7.66%,6.60%,5.96%,7.23%,6.60%,5.53%,5.53%,6.38%,27.66%,24.04%,22.77%,19.36%,17.23%,14.04%,14.47%,159,20,29.41%,5.88%,5.88%,5.88%,5.88%,5.88%,5.88%,5.88%,5.88%,5.88%,11.76%,11.76%,5.88%,5.88%,11.76%,5.88%,5.88%,5.88%,5.88%,5.88%,11.76%,5.88%,5.88%,5.88%,11.76%,23.53%,17.65%,11.76%,5.88%
13-Apr-19,"3,505",258,47.62%,13.49%,12.54%,9.68%,10.79%,9.68%,10.63%,9.21%,9.05%,7.46%,7.46%,31.59%,8.25%,7.14%,6.67%,6.83%,6.83%,6.03%,5.08%,5.40%,5.71%,3.49%,24.60%,23.17%,18.10%,17.78%,16.67%,15.40%,13.17%,157,52,30.00%,10.00%,15.00%,15.00%,15.00%,15.00%,15.00%,5.00%,10.00%,5.00%,5.00%,15.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,10.00%,0.00%,0.00%,20.00%,15.00%,15.00%,20.00%,15.00%,0.00%,5.00%
14-Apr-19,"3,693",217,44.10%,11.96%,10.31%,9.87%,9.27%,8.07%,8.82%,7.47%,7.17%,7.47%,6.13%,31.84%,7.03%,5.83%,5.38%,4.78%,5.08%,5.23%,4.48%,4.48%,4.48%,5.08%,26.31%,24.66%,19.88%,17.34%,15.70%,13.45%,13.30%,157,29,42.31%,7.69%,3.85%,11.54%,7.69%,3.85%,3.85%,3.85%,3.85%,7.69%,3.85%,23.08%,3.85%,15.38%,3.85%,3.85%,3.85%,7.69%,3.85%,3.85%,3.85%,3.85%,11.54%,7.69%,11.54%,7.69%,7.69%,11.54%,7.69%
15-Apr-19,"3,568",207,51.01%,12.25%,11.74%,10.07%,10.07%,8.72%,8.05%,6.54%,6.88%,6.88%,6.88%,32.55%,6.54%,6.21%,6.21%,6.38%,4.70%,4.03%,4.19%,4.70%,4.36%,3.19%,26.01%,20.81%,20.30%,16.78%,16.61%,16.11%,14.09%,155,6,50.00%,35.71%,28.57%,21.43%,21.43%,14.29%,21.43%,14.29%,7.14%,14.29%,7.14%,71.43%,7.14%,7.14%,7.14%,7.14%,7.14%,7.14%,7.14%,7.14%,14.29%,14.29%,35.71%,35.71%,35.71%,28.57%,28.57%,21.43%,28.57%
16-Apr-19,"3,490",136,43.33%,10.00%,9.17%,8.96%,10.00%,8.33%,8.75%,8.96%,8.33%,7.50%,7.71%,32.08%,6.88%,6.67%,6.25%,6.88%,5.42%,6.25%,5.63%,6.04%,5.63%,5.63%,24.38%,21.67%,18.75%,16.46%,14.38%,14.38%,12.71%,162,23,58.82%,11.76%,17.65%,17.65%,17.65%,17.65%,11.76%,17.65%,11.76%,17.65%,17.65%,35.29%,11.76%,11.76%,17.65%,11.76%,11.76%,11.76%,11.76%,17.65%,11.76%,5.88%,17.65%,23.53%,5.88%,35.29%,5.88%,17.65%,11.76%
17-Apr-19,"3,473",151,47.06%,12.71%,13.09%,11.39%,11.57%,8.92%,9.30%,9.11%,8.54%,7.59%,7.40%,30.36%,8.73%,6.64%,7.21%,5.88%,5.31%,6.45%,6.45%,5.50%,5.50%,5.69%,25.43%,22.96%,20.11%,18.41%,17.27%,14.42%,14.04%,164,6,50.00%,21.43%,14.29%,14.29%,21.43%,21.43%,14.29%,21.43%,14.29%,21.43%,21.43%,50.00%,21.43%,21.43%,7.14%,21.43%,21.43%,21.43%,14.29%,21.43%,14.29%,14.29%,42.86%,42.86%,21.43%,14.29%,28.57%,14.29%,14.29%
18-Apr-19,"3,465",214,46.39%,10.31%,10.52%,9.28%,8.87%,8.04%,8.45%,7.22%,7.01%,6.60%,6.39%,32.37%,6.60%,6.60%,5.77%,5.98%,4.74%,3.92%,3.92%,4.95%,3.51%,3.71%,25.36%,22.27%,16.49%,15.67%,15.67%,11.96%,10.31%,148,0,53.85%,15.38%,23.08%,23.08%,15.38%,15.38%,15.38%,15.38%,15.38%,15.38%,15.38%,46.15%,15.38%,7.69%,7.69%,7.69%,7.69%,0.00%,7.69%,0.00%,15.38%,15.38%,38.46%,30.77%,30.77%,30.77%,30.77%,23.08%,23.08%
19-Apr-19,"3,255",177,46.04%,13.43%,13.91%,12.95%,12.47%,11.27%,10.55%,10.79%,8.15%,8.87%,7.19%,32.85%,7.19%,6.24%,4.32%,5.52%,4.56%,4.80%,4.08%,5.52%,5.04%,2.16%,30.70%,21.82%,21.34%,17.27%,17.75%,14.87%,13.67%,155,38,43.75%,18.75%,25.00%,18.75%,12.50%,12.50%,12.50%,6.25%,6.25%,6.25%,6.25%,31.25%,6.25%,6.25%,12.50%,6.25%,6.25%,6.25%,12.50%,6.25%,12.50%,6.25%,31.25%,25.00%,12.50%,18.75%,12.50%,12.50%,18.75%
20-Apr-19,"3,257",218,48.25%,11.84%,14.04%,11.84%,12.28%,9.65%,11.62%,9.65%,9.21%,8.55%,7.68%,34.87%,7.24%,7.46%,6.80%,5.92%,6.58%,5.70%,4.82%,4.61%,5.04%,5.48%,26.32%,22.59%,20.18%,18.20%,15.79%,15.79%,14.69%,143,8,54.55%,27.27%,18.18%,9.09%,18.18%,9.09%,0.00%,9.09%,27.27%,9.09%,18.18%,45.45%,0.00%,0.00%,18.18%,9.09%,9.09%,18.18%,18.18%,0.00%,18.18%,18.18%,27.27%,27.27%,27.27%,45.45%,27.27%,27.27%,18.18%
21-Apr-19,"3,182",140,46.51%,11.29%,12.90%,12.63%,11.02%,11.56%,8.60%,8.06%,6.72%,7.26%,6.18%,34.68%,7.26%,6.45%,6.45%,6.18%,6.45%,6.18%,7.80%,5.65%,7.53%,5.11%,25.00%,24.19%,22.04%,20.16%,18.28%,13.98%,14.78%,142,6,23.81%,14.29%,4.76%,4.76%,9.52%,9.52%,4.76%,9.52%,9.52%,9.52%,4.76%,9.52%,4.76%,4.76%,4.76%,4.76%,4.76%,9.52%,4.76%,4.76%,4.76%,4.76%,9.52%,14.29%,14.29%,9.52%,9.52%,9.52%,14.29%
22-Apr-19,"3,189",135,51.40%,13.99%,14.25%,12.98%,12.98%,13.23%,12.47%,10.94%,9.92%,8.65%,7.63%,35.11%,8.40%,8.14%,8.40%,8.65%,6.87%,7.12%,7.38%,7.12%,6.11%,6.62%,29.77%,23.66%,19.59%,23.66%,18.83%,16.28%,17.05%,146,10,38.46%,7.69%,7.69%,7.69%,15.38%,15.38%,7.69%,7.69%,7.69%,7.69%,7.69%,30.77%,7.69%,7.69%,7.69%,7.69%,7.69%,7.69%,0.00%,7.69%,7.69%,15.38%,23.08%,15.38%,23.08%,0.00%,15.38%,7.69%,7.69%
23-Apr-19,"3,248",123,49.04%,16.59%,12.74%,11.30%,12.50%,10.82%,10.82%,9.62%,9.13%,8.17%,7.69%,36.06%,7.21%,6.49%,6.97%,5.53%,6.01%,5.29%,5.29%,6.49%,5.77%,6.25%,27.40%,22.84%,20.91%,17.07%,18.75%,14.18%,15.63%,135,3,57.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.29%,0.00%,0.00%,28.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.29%,14.29%,0.00%,0.00%,14.29%,0.00%,14.29%
24-Apr-19,"3,169",88,46.19%,14.96%,12.07%,11.29%,10.50%,11.02%,10.24%,10.50%,7.87%,9.71%,8.66%,33.60%,8.66%,9.19%,8.92%,7.61%,6.30%,6.82%,6.56%,7.09%,5.51%,4.20%,29.66%,27.30%,23.36%,19.69%,16.80%,18.11%,14.44%,137,10,45.45%,9.09%,0.00%,0.00%,9.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,27.27%,0.00%,0.00%,0.00%,0.00%,9.09%,9.09%,0.00%,0.00%,9.09%,0.00%,18.18%,18.18%,18.18%,18.18%,18.18%,18.18%,9.09%
25-Apr-19,"3,013",81,46.80%,14.81%,14.14%,13.47%,12.12%,11.78%,11.78%,10.44%,6.73%,8.42%,8.08%,36.03%,8.08%,6.40%,7.74%,6.73%,8.42%,6.73%,6.73%,5.05%,5.72%,2.36%,27.61%,26.60%,19.19%,16.84%,16.50%,14.48%,14.48%,140,16,22.22%,11.11%,16.67%,16.67%,11.11%,16.67%,11.11%,11.11%,16.67%,11.11%,11.11%,16.67%,0.00%,11.11%,5.56%,5.56%,11.11%,5.56%,0.00%,5.56%,0.00%,0.00%,16.67%,11.11%,11.11%,5.56%,11.11%,16.67%,11.11%
26-Apr-19,"3,021",103,42.43%,9.73%,11.35%,9.73%,6.76%,9.19%,9.19%,8.38%,6.76%,7.57%,5.68%,31.62%,6.49%,5.68%,5.95%,5.95%,4.32%,5.41%,4.59%,5.41%,4.59%,3.24%,25.41%,20.00%,18.92%,14.59%,15.14%,13.24%,12.43%,125,36,42.86%,28.57%,14.29%,28.57%,0.00%,14.29%,0.00%,14.29%,0.00%,0.00%,0.00%,14.29%,14.29%,14.29%,14.29%,14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,14.29%,42.86%,28.57%,28.57%,28.57%,28.57%,28.57%,14.29%
27-Apr-19,"2,937",139,46.05%,10.00%,10.00%,10.53%,10.79%,9.21%,7.11%,6.58%,7.89%,7.11%,6.32%,31.32%,6.58%,6.05%,6.05%,5.79%,5.26%,6.84%,4.74%,5.00%,4.74%,5.26%,27.11%,21.58%,19.47%,14.74%,15.00%,15.00%,11.58%,129,39,53.85%,15.38%,23.08%,15.38%,23.08%,15.38%,15.38%,15.38%,15.38%,0.00%,23.08%,38.46%,7.69%,15.38%,15.38%,7.69%,15.38%,15.38%,15.38%,23.08%,7.69%,15.38%,30.77%,38.46%,38.46%,30.77%,38.46%,23.08%,23.08%
28-Apr-19,"3,098",140,48.50%,11.97%,10.68%,9.62%,10.26%,11.97%,9.83%,9.19%,7.69%,8.76%,8.76%,39.10%,6.41%,8.12%,7.26%,6.41%,7.05%,7.05%,6.41%,5.77%,5.77%,7.05%,29.70%,25.21%,23.08%,18.59%,18.38%,15.17%,11.97%,134,49,45.00%,15.00%,15.00%,15.00%,15.00%,10.00%,10.00%,10.00%,15.00%,10.00%,10.00%,30.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,5.00%,5.00%,20.00%,25.00%,25.00%,15.00%,20.00%,25.00%,20.00%
29-Apr-19,"3,034",106,52.00%,11.71%,10.86%,10.57%,8.57%,10.86%,8.86%,6.86%,7.14%,7.14%,6.86%,35.71%,6.86%,5.14%,6.00%,5.71%,6.86%,6.00%,4.29%,5.71%,5.43%,4.86%,30.57%,24.29%,20.86%,16.86%,18.86%,16.86%,15.71%,135,0,28.57%,0.00%,0.00%,0.00%,14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,28.57%,0.00%,14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.29%,14.29%,14.29%,14.29%,14.29%,14.29%,0.00%
30-Apr-19,"2,962",123,46.06%,9.39%,10.00%,10.00%,9.09%,9.09%,7.88%,6.36%,5.15%,6.97%,5.45%,33.33%,5.45%,4.24%,4.24%,4.24%,3.94%,5.15%,4.24%,4.24%,5.45%,4.24%,23.33%,20.30%,17.27%,16.36%,13.03%,11.52%,10.91%,145,7,33.33%,14.29%,23.81%,14.29%,14.29%,14.29%,19.05%,14.29%,14.29%,19.05%,14.29%,33.33%,9.52%,9.52%,14.29%,9.52%,9.52%,9.52%,0.00%,14.29%,4.76%,4.76%,28.57%,28.57%,33.33%,14.29%,14.29%,23.81%,14.29%
01-May-19,"2,895",190,44.60%,12.22%,10.51%,9.66%,9.66%,9.09%,8.24%,7.67%,8.52%,8.81%,7.95%,34.38%,7.39%,8.24%,5.11%,4.83%,5.40%,5.97%,4.83%,5.11%,5.97%,5.11%,28.13%,24.15%,22.16%,21.59%,17.61%,13.92%,12.78%,132,13,50.00%,0.00%,0.00%,8.33%,0.00%,0.00%,0.00%,8.33%,8.33%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,16.67%,16.67%,8.33%,16.67%,0.00%,0.00%
02-May-19,"2,989",161,48.53%,11.52%,10.78%,8.58%,7.84%,8.33%,7.84%,5.64%,5.64%,5.39%,5.15%,33.82%,4.66%,4.66%,4.17%,4.41%,3.92%,3.68%,3.68%,3.68%,3.92%,3.68%,26.23%,25.25%,17.89%,15.44%,15.69%,13.24%,10.54%,135,12,28.57%,28.57%,14.29%,14.29%,14.29%,14.29%,14.29%,0.00%,14.29%,0.00%,0.00%,14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.29%,28.57%,14.29%,28.57%,14.29%,0.00%,28.57%
03-May-19,"3,397",168,39.90%,7.79%,7.18%,6.45%,5.84%,6.08%,5.35%,5.23%,5.72%,5.35%,3.65%,24.45%,4.14%,3.77%,4.01%,4.01%,3.77%,3.04%,2.80%,2.92%,2.55%,2.68%,18.37%,16.30%,13.14%,11.80%,10.95%,10.83%,8.15%,140,7,18.75%,6.25%,0.00%,6.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,18.75%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.50%,12.50%,6.25%,6.25%,0.00%,6.25%,12.50%
04-May-19,"3,448",185,40.83%,7.66%,7.29%,6.78%,6.91%,6.28%,6.41%,6.41%,5.28%,4.90%,4.02%,25.75%,4.27%,4.02%,3.64%,3.52%,3.52%,3.39%,3.52%,3.27%,2.76%,3.02%,19.22%,16.96%,15.58%,12.56%,11.81%,11.31%,9.05%,126,4,26.67%,13.33%,13.33%,6.67%,6.67%,13.33%,13.33%,0.00%,0.00%,0.00%,6.67%,13.33%,6.67%,6.67%,6.67%,6.67%,6.67%,0.00%,0.00%,6.67%,0.00%,6.67%,26.67%,26.67%,6.67%,26.67%,13.33%,20.00%,0.00%
05-May-19,"3,611",134,44.50%,10.61%,9.96%,9.44%,9.31%,8.41%,8.41%,6.99%,7.24%,6.99%,6.21%,28.59%,5.30%,6.21%,5.82%,5.05%,4.79%,5.43%,4.27%,3.36%,4.53%,4.40%,23.03%,19.92%,16.69%,14.62%,13.58%,13.32%,11.13%,136,18,63.16%,21.05%,21.05%,10.53%,15.79%,31.58%,21.05%,21.05%,15.79%,15.79%,26.32%,42.11%,10.53%,21.05%,15.79%,21.05%,15.79%,10.53%,5.26%,10.53%,10.53%,10.53%,31.58%,36.84%,21.05%,31.58%,26.32%,26.32%,15.79%
06-May-19,"3,426",133,37.58%,9.23%,6.21%,5.37%,6.21%,6.04%,4.36%,5.03%,4.53%,3.86%,3.86%,27.85%,3.86%,3.86%,3.19%,3.19%,2.52%,3.52%,2.85%,2.85%,2.01%,2.85%,22.15%,17.62%,14.77%,15.60%,11.74%,10.23%,10.23%,139,12,40.00%,20.00%,10.00%,10.00%,0.00%,0.00%,0.00%,0.00%,10.00%,0.00%,10.00%,40.00%,10.00%,0.00%,10.00%,0.00%,10.00%,0.00%,10.00%,10.00%,0.00%,0.00%,30.00%,10.00%,20.00%,20.00%,20.00%,20.00%,10.00%
07-May-19,"3,201",163,42.76%,8.97%,8.51%,9.89%,7.82%,6.67%,5.75%,6.67%,6.21%,6.21%,5.29%,28.28%,5.52%,4.37%,4.83%,4.14%,4.14%,2.76%,4.14%,3.45%,3.45%,3.45%,22.30%,15.86%,15.17%,13.10%,11.26%,12.41%,10.11%,139,19,45.45%,0.00%,0.00%,0.00%,0.00%,0.00%,9.09%,0.00%,0.00%,0.00%,9.09%,9.09%,0.00%,9.09%,0.00%,0.00%,9.09%,0.00%,0.00%,0.00%,0.00%,9.09%,0.00%,9.09%,0.00%,9.09%,0.00%,0.00%,0.00%
08-May-19,"3,215",148,44.84%,12.00%,10.11%,10.53%,10.95%,10.11%,9.26%,8.84%,7.16%,7.16%,6.95%,31.16%,8.21%,6.53%,5.89%,5.89%,4.84%,6.11%,4.84%,4.42%,4.42%,3.79%,25.68%,21.47%,19.16%,18.53%,16.00%,11.79%,11.79%,133,5,66.67%,25.00%,25.00%,33.33%,33.33%,16.67%,25.00%,25.00%,16.67%,33.33%,25.00%,58.33%,16.67%,16.67%,16.67%,16.67%,16.67%,16.67%,25.00%,25.00%,16.67%,16.67%,41.67%,41.67%,41.67%,33.33%,33.33%,41.67%,33.33%
09-May-19,"2,986",127,43.93%,9.97%,6.85%,5.61%,6.54%,6.54%,6.54%,5.92%,6.85%,5.92%,4.98%,28.97%,4.36%,3.12%,4.36%,3.74%,3.74%,3.12%,3.74%,4.05%,3.74%,3.12%,23.68%,20.87%,17.45%,14.33%,10.90%,9.97%,6.85%,120,3,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,11.11%,11.11%,0.00%,0.00%,11.11%,0.00%,0.00%,11.11%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,11.11%,44.44%,11.11%,22.22%,11.11%,11.11%,0.00%,0.00%
10-May-19,"2,915",132,45.79%,12.11%,10.53%,10.53%,10.26%,9.47%,7.11%,8.42%,6.32%,6.84%,6.58%,31.05%,6.58%,5.53%,5.00%,6.32%,5.00%,4.21%,4.74%,5.00%,4.21%,3.68%,28.42%,27.63%,22.37%,18.95%,15.79%,14.47%,13.68%,118,10,37.50%,12.50%,12.50%,12.50%,12.50%,12.50%,12.50%,12.50%,12.50%,12.50%,12.50%,12.50%,12.50%,12.50%,12.50%,12.50%,0.00%,12.50%,12.50%,12.50%,12.50%,12.50%,12.50%,12.50%,12.50%,12.50%,12.50%,12.50%,12.50%
11-May-19,"2,899",109,36.96%,10.63%,9.66%,9.42%,7.49%,7.97%,8.94%,7.97%,6.52%,4.59%,6.04%,25.36%,6.04%,5.31%,6.28%,3.86%,5.07%,3.14%,3.86%,2.66%,3.86%,3.38%,20.53%,17.39%,14.73%,13.29%,14.25%,14.01%,12.56%,123,3,41.67%,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16.67%,8.33%,16.67%,16.67%,8.33%,8.33%,8.33%
12-May-19,"2,921",120,46.37%,11.66%,11.14%,12.18%,11.92%,11.66%,9.33%,10.10%,9.59%,9.59%,8.29%,33.68%,8.81%,7.77%,7.77%,6.74%,7.51%,7.25%,6.74%,5.96%,6.22%,6.22%,29.79%,23.06%,22.80%,18.91%,16.58%,14.25%,11.40%,133,1,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,8.33%,8.33%,0.00%,0.00%,8.33%,0.00%,8.33%,0.00%,0.00%,8.33%,0.00%,0.00%,8.33%,8.33%,0.00%,0.00%
13-May-19,"2,834",49,44.95%,15.29%,12.23%,9.79%,11.01%,11.62%,11.01%,8.56%,9.48%,9.17%,6.73%,30.28%,6.73%,6.12%,7.03%,6.42%,6.42%,5.50%,7.03%,5.50%,5.50%,5.50%,25.99%,22.32%,16.82%,17.13%,17.13%,15.90%,13.15%,124,38,18.75%,12.50%,6.25%,6.25%,12.50%,6.25%,0.00%,0.00%,6.25%,6.25%,6.25%,12.50%,6.25%,6.25%,0.00%,0.00%,6.25%,0.00%,0.00%,0.00%,6.25%,6.25%,18.75%,18.75%,12.50%,12.50%,12.50%,6.25%,6.25%
